YM,JOIN_SN,JOIN_SN_TYP,SCTR_CD,COM_SN,IS_ME,LN_CD_1,LN_CD_2,LN_CD_3,LN_DT,LN_AMT,RATE_YN,RPY_CD,EXP_DT,RATE,RPY_AMT
201810,8667,1,24,93270,0,0031,100,000,201506,13000,0,00,000000,0,0
202004,1233170,1,24,3413854,0,0031,100,000,201512,2100,0,00,000000,0,0
202006,1881091,1,24,3936713,0,0031,100,000,201506,3900,1,01,202006,28000,0
201907,1323540,1,24,425701,0,0031,100,000,201404,4300,0,00,000000,0,0
201810,33911,1,24,5755436,0,0031,100,000,201701,3700,0,00,000000,0,0
201909,118218,1,24,7492635,0,0031,100,000,201605,2700,0,00,000000,0,0
201908,888544,1,24,321883,0,0031,590,000,201612,1400,0,00,000000,0,0
201808,1745042,1,24,6665424,0,0031,100,000,201806,11000,0,00,000000,0,0
201811,359867,1,24,6974813,0,0031,100,000,201602,2100,0,00,000000,0,0
201810,1233170,1,24,9691673,0,0031,100,000,201512,890,0,00,000000,0,0
201908,1258336,1,24,879044,0,0031,100,000,201612,2200,1,01,202012,24000,0
201806,1331940,1,24,9233137,0,0031,100,000,201512,2400,0,00,000000,0,0
201810,1326679,1,24,1544454,0,0031,100,000,201607,1200,0,00,000000,0,0
202003,980768,1,24,4046079,0,0031,100,000,201709,2200,0,00,000000,0,0
202001,478213,1,24,344297,0,0031,100,000,201901,700,0,00,000000,0,0
201903,1859347,1,24,9798640,0,0031,100,000,201707,1100,0,00,000000,0,0
202005,1453,1,24,7322190,0,0031,100,000,201609,1400,0,00,000000,0,0
202006,335739,1,24,2819158,0,0031,100,000,201812,860,1,01,202312,24000,0
201807,177795,1,24,7796073,0,0031,100,000,201506,2100,0,00,000000,0,0
201908,810369,1,24,5422204,0,0031,100,000,201603,14000,0,00,000000,0,0
201905,104338,1,24,7407874,0,0031,100,000,201509,11000,0,00,000000,0,0
201811,1014318,1,24,8032416,0,0031,100,000,201708,3300,0,00,000000,0,0
202005,677906,1,24,7022551,0,0031,100,000,201611,1500,0,00,000000,0,0
201906,530664,1,24,3258027,0,0031,100,000,201301,1700,0,00,000000,0,0
201811,580622,1,24,8321995,0,0031,100,000,201109,10000,0,00,000000,0,0
201806,1753650,1,24,8090582,0,0031,100,000,201806,800,0,00,000000,0,0
201908,1639016,1,24,9592837,0,0031,100,000,201905,8800,1,01,202405,24000,0
201911,453147,1,24,6034387,0,0031,100,000,201605,3200,1,01,202205,24000,0
202002,231002,1,24,10020936,0,0031,100,000,201806,2800,1,01,202306,24000,0
201905,231208,1,24,444871,0,0031,100,000,201507,2300,1,01,202007,30000,0
201907,203220,1,24,2412843,0,0031,100,000,201406,7000,0,00,000000,0,0
201807,1281289,1,24,9238086,0,0031,100,000,201602,4100,0,00,000000,0,0
201908,475838,1,24,7150691,0,0031,100,000,201012,2300,0,00,000000,0,0
201808,1231527,1,24,8468971,0,0031,100,000,201506,7000,0,00,000000,0,0
201806,157618,1,24,485525,0,0031,590,000,201405,590,0,00,000000,0,0
201912,1639016,1,24,9592837,0,0031,100,000,201905,1800,1,01,202405,24000,0
201806,976801,1,24,4202193,0,0031,100,000,201802,1800,0,00,000000,0,0
201906,454554,1,24,826552,0,0031,100,000,201608,1400,1,01,202108,28000,0
201910,767464,1,24,7359867,0,0031,100,000,201610,4300,1,04,202110,28000,0
201905,348280,1,24,6769355,0,0031,100,000,201810,2000,1,04,202110,24000,0
201807,1732322,1,24,4575657,0,0031,100,000,201611,780,0,00,000000,0,0
201909,1814400,1,24,7460851,0,0031,100,000,201807,17000,1,01,202307,24000,0
202003,1578781,1,24,3549248,0,0031,100,000,201511,5600,0,00,000000,0,0
202005,1281289,1,24,9238086,0,0031,100,000,201602,4100,1,01,202102,28000,0
201810,560032,1,24,420901,0,0031,100,000,201406,2800,0,00,000000,0,0
201808,283879,1,24,432763,0,0031,100,000,201507,12000,0,00,000000,0,0
201910,169715,1,24,2344107,0,0031,100,000,201809,3300,1,01,202309,24000,0
201912,693403,1,24,3841585,0,0031,100,000,201709,2700,1,04,201912,28000,0
201906,1547190,1,24,2932733,0,0031,100,000,201903,2700,1,01,202203,24000,0
201806,866501,1,24,2370386,0,0031,100,000,201709,2700,0,00,000000,0,0
202006,1743342,1,24,9077371,0,0031,100,000,201908,210,1,04,202008,24000,0
202004,632036,1,24,5458709,0,0031,100,000,201907,990,1,04,202007,24000,0
201910,1701420,1,24,1016564,0,0031,100,000,201609,1700,1,04,202109,28000,0
201811,109155,1,24,818679,0,0031,590,000,201111,3500,0,00,000000,0,0
201903,1086252,1,24,9245091,0,0031,100,000,201510,3600,0,00,000000,0,0
201806,1212267,1,24,8127504,0,0031,100,000,201210,1600,0,00,000000,0,0
201811,203069,1,24,4596428,0,0031,100,000,201607,2700,0,00,000000,0,0
202001,406912,1,24,5383541,0,0031,100,000,201512,13000,0,00,000000,0,0
202002,1630411,1,24,9604266,0,0031,100,000,201905,11000,1,01,202205,24000,0
201908,578219,1,24,8448722,0,0031,100,000,201609,7800,0,00,000000,0,0
201906,1578781,1,24,3549248,0,0031,100,000,201511,5600,0,00,000000,0,0
201902,1040735,1,24,7934042,0,0031,100,000,201511,9000,0,00,000000,0,0
201908,1940095,1,24,2629584,0,0031,100,000,201901,660,1,04,201912,24000,0
202003,1236182,1,24,4387458,0,0031,100,000,201301,9100,0,00,000000,0,0
201806,431957,1,24,8268406,0,0031,100,000,201706,16000,0,00,000000,0,0
202003,956021,1,24,4773571,0,0031,100,000,201511,100,0,00,000000,0,0
201909,1876977,1,24,8277519,0,0031,100,000,201806,1600,1,04,202105,24000,0
202003,405006,1,24,563023,0,0031,100,000,201005,4700,0,00,000000,0,0
201812,1233170,1,24,3413854,0,0031,100,000,201512,2100,0,00,000000,0,0
201909,1241988,1,24,6721084,0,0031,100,000,201601,3500,0,00,000000,0,0
201907,1257450,1,24,4451798,0,0031,100,000,201803,9300,1,08,202103,24000,0
201807,1552853,1,24,8547375,0,0031,100,000,201610,1700,0,00,000000,0,0
201901,1231527,1,24,8468971,0,0031,100,000,201506,7000,0,00,000000,0,0
201811,716289,1,24,501705,0,0031,100,000,201512,12000,0,00,000000,0,0
201907,19050,1,24,2610804,0,0031,100,000,201809,3300,1,04,202209,24000,0
202001,343589,1,24,4467695,0,0031,100,000,201604,2400,0,00,000000,0,0
201912,619476,1,24,559066,0,0031,100,000,201310,5000,0,00,000000,0,0
201810,1192255,1,24,780877,0,0031,100,000,201609,2800,0,00,000000,0,0
202004,1040235,1,24,3934851,0,0031,100,000,201902,1300,1,04,202104,24000,0
202004,741096,1,24,5782673,0,0031,100,000,201809,3500,1,08,202309,24000,0
201906,484004,1,24,6185088,0,0031,100,000,201605,7700,0,00,000000,0,0
202005,345412,1,24,1277065,0,0031,100,000,201507,1300,0,00,000000,0,0
201911,57536,1,24,9652239,0,0031,100,000,201511,6300,0,00,000000,0,0
201905,1542158,1,24,4223023,0,0031,100,000,201308,520,0,00,000000,0,0
201901,798855,1,24,7956444,0,0031,100,000,201102,6500,0,00,000000,0,0
202004,475838,1,24,7150691,0,0031,100,000,201012,2300,0,00,000000,0,0
201808,1712720,1,24,6430871,0,0031,100,000,201201,100,0,00,000000,0,0
201906,295724,1,24,2639171,0,0031,100,000,201011,20000,0,00,000000,0,0
